suffix,n
SNAPSHOTS,59
20180405,59
cr3,58
rc.14,58
188,58
preview-10,58
74,58
scalaz-7.1.10,58
RC006,58
RC008,58
RC007,58
RC011,58
RC009,58
RC010,58
RC012,58
alpha20,57
sourcedeps,57
M09,57
106,56
M9.1,56
M9.2,56
M6-1,56
scalaz-7.1.0-M6,56
3eab439-20180109215419,56
6a513a8-20180216164051,56
bc9c22b-20171213063838,56
beta-1-20150523,56
beta-1-20150521,56
rc1.2,55
16,55
patch-01,55
RC.3,55
166,55
165,55
25-5ef5ee1,55
20180308,55
20180312,55
43,54
RC8b,54
p2,54
26b9134-20180207173143,54
okta-rc1,54
okta-rc3,54
okta-alpha1,54
okta-beta1,54
okta-rc2,54
ga2,53
rc.17,53
CUSTOM,53
rc.18,53
Alpha-1,53
SNAP10,53
beta23,53
HBase-1.2,53
30-ded4f42,53
DEVELOPMENT,53
28-b111386,53
Alpha-3,52
Alpha-4,52
M28,52
migration,52
migration-1,52
b2015061001,52
rc1-incubating,52
geoapi-3.0,51
b104,51
131,51
b419,51
b411,51
v200706262000,50
m01,50
SNAP6,50
Alpha-2,50
beta.16,50
M13-beta3,50
M12-beta2,50
M8.1,50
b008,49
b202,49
b210,49
b259,49
rc.16,49
b229,49
b240,49
beta-10,48
b005,48
b006,48
alpha-25,48
ALPHA2,48
b189,48
b100,48
b144,48
25-b3b801e8,48
milestone1,47
CR3,47
jre,47
rc.13,47
Alpha-5,47
beta.18,47
beta.25,47
20170202003034-3739406,47
20170202221116-f32a298,47
20170130231531-f808b61,47
20170203233805-3b836b9,47
20170330160759-0665464,47
20170228162720-a7d4c14,47
20170404161946-46dd4cb,47
20170519080524-c1457d5,47
20170513130911-c42a6fe,47
20170522072813-3d83c92,47
20170416215732-badcded,47
alpha-39,46
alpha-38,46
beta.19,46
rc.21,46
1.3,46
1.4.2,46
Beta-1,46
alpha-37,45
alpha-36,45
gwt2,45
1.4,45
gfa,45
rc.12,45
211,45
rc3.10,45
20170417195349-7b7973e,45
20170630055143-1856170,45
75,45
27-c4ab498,45
alpha-27,44
ALPHA1,44
Beta-2,44
support,44
rc2.2,44
beta.21,44
123,44
20160505133221-f62fb45,44
20160524134053-8145e17,44
20160819060225-dfcb73e,44
scalacheck-1.12.5,44
20160825165200-b474dc3,44
20160909214031-92b5f32,44
scalacheck-2.12.5,44
20160914090233-50e99f0,44
cr8,44
cldr31,44
snapshot,43
RC-2,43
beta-12,43
07,43
b007,43
14,43
Alpha-6,43
rc3.8,43
rc3.6,43
beta.17,43
beta.22,43
60,43
122,43
scalacheck-1.14,43
cdh5.3.1,43
08,42
e,42
cr5,42
22,42
rc.15,42
rc3.2,42
rc3.3,42
support23,42
support22,42
cr6,42
cr7,42
40-af0a31e,42
beta.20,42
beta.26,42
hudson-1,41
13,41
lw,41
rc3.7,41
rc3.4,41
rc3.1,41
130,41
23,40
19,40
beta-05,40
alpha.7,40
SNAP12,40
beta24,40
84,40
rc3.9,40
1.4.1,40
Alpha-7,40
RC-3,39
09,39
b009,39
M2.1,39
scalaz-7.2.0,39
20151016053644-0ca99ef,39
20150901013911-1f41c5e,39
scalaz-7.1.7,39
scalacheck-1.12,39
b170127.1453,39
30-53edc31,39
4-b250f64,39
