Ljavax/xml/bind/annotation/adapters/XmlJavaTypeAdapter,117
Ljavax/ws/rs/Produces,117
Lio/vertx/codegen/annotations/VertxGen,115
Lorg/codehaus/plexus/component/annotations/Component,115
Lcom/sun/xml/txw2/annotation/XmlElement,114
Lorg/springframework/boot/context/properties/ConfigurationProperties,114
Ljava/beans/Transient,114
Ljavax/xml/bind/annotation/XmlAnyAttribute,112
Lkotlin/PublishedApi,112
Lorg/apache/kafka/common/annotation/InterfaceStability$Evolving,110
Lnet/shibboleth/utilities/java/support/annotation/constraint/NonnullAfterInit,110
Lorg/eclipse/jgit/annotations/Nullable,109
Lcom/github/javaparser/ast/AllFieldsConstructor,108
Lorg/glassfish/pfl/basic/logex/Message,104
Lnet/jcip/annotations/GuardedBy,104
Lorg/killbill/billing/security/RequiresPermissions,103
Ljavax/inject/Qualifier,102
Lakka/annotation/DoNotInherit,97
Ljavax/enterprise/context/Dependent,97
Lorg/glassfish/pfl/basic/logex/Log,97
Lorg/infinispan/factories/annotations/Start,96
Lorg/springframework/web/bind/annotation/RequestMapping,96
Lcom/fasterxml/jackson/annotation/JacksonAnnotation,95
Lcom/hazelcast/internal/adapter/MethodNotAvailable,95
Ljavax/annotation/concurrent/Immutable,94
Lorg/apache/camel/spi/UriParam,93
Lorg/springframework/context/annotation/Conditional,92
Lorg/springframework/stereotype/Component,90
Lio/swagger/annotations/ApiModelProperty,87
Lcom/google/errorprone/annotations/DoNotCall,87
Ljavax/enterprise/inject/Vetoed,85
Lorg/eclipse/jetty/util/annotation/ManagedObject,85
Lorg/glassfish/gmbal/Description,85
Lorg/springframework/boot/autoconfigure/AutoConfigureAfter,84
Lcom/google/inject/Provides,84
Lbrave/internal/Nullable,83
Lorg/apache/thrift/annotation/Nullable,83
Lorg/glassfish/gmbal/ManagedAttribute,83
Ljavax/xml/bind/annotation/XmlValue,82
Ljavax/annotation/Resource,81
Lio/netty/channel/ChannelHandler$Skip,80
Lliquibase/pro/packaged/ck,80
Lcom/google/gwt/resources/client/ClientBundle$Source,80
Ljavax/ws/rs/Consumes,80
Lorg/osgi/service/component/annotations/Component,80
Lorg/apache/logging/log4j/core/config/plugins/PluginFactory,78
Lorg/osgi/annotation/versioning/ConsumerType,78
Ljavax/ws/rs/ext/Provider,77
Lorg/codehaus/jackson/map/annotate/JacksonStdImpl,77
Lnet/jcip/annotations/Immutable,77
Ljavax/annotation/CheckForNull,76
Ljakarta/xml/bind/annotation/XmlType,76
Lcom/amazonaws/annotation/SdkProtectedApi,76
Lorg/skife/jdbi/v2/sqlobject/SqlQuery,75
Lorg/jvnet/hk2/annotations/Contract,75
Lorg/jclouds/javax/annotation/Nullable,73
Lorg/eclipse/jetty/util/annotation/ManagedAttribute,73
Ljava/lang/annotation/Repeatable,72
Lorg/osgi/annotation/versioning/Version,72
Lcom/google/api/client/util/Beta,72
Lcom/google/errorprone/annotations/concurrent/LazyInit,72
Ljakarta/xml/bind/annotation/XmlElement,72
Lorg/jgroups/annotations/ManagedAttribute,72
Lorg/infinispan/commons/util/Experimental,71
Lio/netty/channel/ChannelHandler$Sharable,70
